0 1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9 0
2 0 6 8 1 7 9 5 3 4
3 9 5 6 8 2 0 1 4 7
4 8 9 1 0 3 5 6 7 2
5 7 0 9 6 8 4 3 2 1
6 3 1 7 9 4 2 0 5 8
7 5 4 0 2 1 8 9 6 3
8 6 7 2 3 9 1 4 0 5
9 4 8 5 7 0 3 2 1 6

0 1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9 0
2 3 4 0 1 7 8 9 5 6
3 4 0 1 2 8 9 5 6 7
4 0 1 2 3 9 5 6 7 8
5 6 7 8 9 0 1 2 3 4
6 7 8 9 0 1 2 3 4 5
7 8 9 5 6 2 3 4 0 1
8 9 5 6 7 3 4 0 1 2
9 5 6 7 8 4 0 1 2 3

0 1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9 0
2 3 4 0 1 7 8 9 5 6
3 4 0 1 2 8 9 5 6 7
4 0 1 2 8 9 5 6 7 3
5 6 7 8 9 0 1 2 3 4
6 7 8 9 0 1 2 3 4 5
7 8 9 5 6 2 3 4 0 1
8 9 5 6 7 3 4 0 1 2
9 5 6 7 3 4 0 1 2 8

0 1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9 0
2 3 4 0 1 7 8 9 5 6
3 4 0 1 2 8 9 5 6 7
4 0 1 7 3 9 5 6 2 8
5 6 7 8 9 0 1 2 3 4
6 7 8 9 0 1 2 3 4 5
7 8 9 5 6 2 3 4 0 1
8 9 5 6 7 3 4 0 1 2
9 5 6 2 8 4 0 1 7 3

0 1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9 0
2 3 4 0 1 7 8 9 5 6
3 4 0 1 2 8 9 5 6 7
4 0 1 7 8 9 5 6 2 3
5 6 7 8 9 0 1 2 3 4
6 7 8 9 0 1 2 3 4 5
7 8 9 5 6 2 3 4 0 1
8 9 5 6 7 3 4 0 1 2
9 5 6 2 3 4 0 1 7 8

0 1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9 0
